Tick 10_6 attacks 1_9 with 49100, killing 3 units
0_1 attacks 1_8 with 109984, killing 7 units
1_5 attacks 0_9 with 167940, killing 23 units
0_3 attacks 1_4 with 184120, killing 8 units
0_9 attacks 1_7 with 68240, killing 2 units
1_3 attacks 0_7 with 171892, killing 18 units
1_9 attacks 0_0 with 29415, killing 3 units
0_2 attacks 1_0 with 63440, killing 1 units
1_7 attacks 0_8 with 58480, killing 5 units
0_0 attacks 1_1 with 87516, killing 1 units
1_0 attacks 0_3 with 180786, killing 18 units
1_6 attacks 0_5 with 157194, killing 34 units
Tick 60_6 attacks 1_6 with 97360, killing 2 units
0_7 attacks 1_5 with 86688, killing 1 units
1_8 attacks 0_1 with 22040, killing 3 units
1_1 attacks 0_2 with 187088, killing 20 units
0_5 attacks 1_9 with 39214, killing 2 units
1_2 attacks 0_4 with 41160, killing 4 units
0_4 attacks 1_3 with 179296, killing 3 units
0_8 attacks 1_4 with 182368, killing 8 units
1_4 attacks 0_6 with 30168, killing 4 units
0_1 attacks 1_8 with 109936, killing 7 units
1_5 attacks 0_9 with 167880, killing 23 units
0_3 attacks 1_2 with 183760, killing 7 units
0_9 attacks 1_7 with 67872, killing 2 units
1_3 attacks 0_7 with 171598, killing 18 units
1_9 attacks 0_0 with 29385, killing 3 units
0_2 attacks 1_0 with 63280, killing 1 units
1_7 attacks 0_8 with 58412, killing 5 units
0_0 attacks 1_1 with 87417, killing 1 units
1_0 attacks 0_3 with 180728, killing 18 units
1_6 attacks 0_5 with 157158, killing 34 units
Tick 70_6 attacks 1_6 with 97200, killing 2 units
0_7 attacks 1_5 with 85824, killing 1 units
1_8 attacks 0_1 with 22012, killing 3 units
1_1 attacks 0_2 with 187044, killing 20 units
0_5 attacks 1_9 with 38738, killing 2 units
1_2 attacks 0_8 with 40740, killing 3 units
0_4 attacks 1_3 with 179296, killing 3 units
0_8 attacks 1_4 with 177120, killing 7 units
1_4 attacks 0_6 with 29916, killing 4 units
0_1 attacks 1_8 with 109888, killing 7 units
1_5 attacks 0_9 with 167820, killing 23 units
0_3 attacks 1_2 with 183400, killing 7 units
0_9 attacks 1_7 with 67504, killing 2 units
1_3 attacks 0_7 with 171304, killing 18 units
1_9 attacks 0_0 with 29355, killing 3 units
0_2 attacks 1_0 with 63120, killing 1 units
1_7 attacks 0_4 with 58344, killing 6 units
0_0 attacks 1_1 with 87318, killing 1 units
1_0 attacks 0_3 with 180670, killing 18 units
1_6 attacks 0_5 with 157122, killing 34 units
Tick 80_6 attacks 1_6 with 97040, killing 2 units
0_7 attacks 1_5 with 84960, killing 1 units
1_8 attacks 0_1 with 21984, killing 3 units
1_1 attacks 0_2 with 187000, killing 20 units
0_5 attacks 1_9 with 38262, killing 2 units
1_2 attacks 0_8 with 40320, killing 3 units
0_4 attacks 1_3 with 178984, killing 3 units
0_8 attacks 1_4 with 175152, killing 7 units
1_4 attacks 0_6 with 29664, killing 4 units
0_1 attacks 1_8 with 109840, killing 7 units
1_5 attacks 0_9 with 167760, killing 23 units
0_3 attacks 1_2 with 183040, killing 7 units
0_9 attacks 1_7 with 67136, killing 2 units
1_3 attacks 0_7 with 171010, killing 18 units
1_9 attacks 0_0 with 29325, killing 3 units
0_2 attacks 1_0 with 62960, killing 1 units
1_7 attacks 0_4 with 58276, killing 6 units
0_0 attacks 1_1 with 87219, killing 1 units
1_0 attacks 0_3 with 180612, killing 18 units
1_6 attacks 0_5 with 157086, killing 34 units
Tick 90_6 attacks 1_6 with 96880, killing 2 units
0_7 attacks 1_5 with 84096, killing 1 units
1_8 attacks 0_1 with 21956, killing 3 units
1_1 attacks 0_2 with 186956, killing 20 units
0_5 attacks 1_9 with 37786, killing 2 units
1_2 attacks 0_8 with 39900, killing 3 units
0_4 attacks 1_3 with 178672, killing 3 units
0_8 attacks 1_4 with 173184, killing 7 units
1_4 attacks 0_6 with 29412, killing 4 units
0_1 attacks 1_8 with 109792, killing 7 units
1_5 attacks 0_9 with 167700, killing 23 units
0_3 attacks 1_2 with 182680, killing 7 units
0_9 attacks 1_7 with 66768, killing 2 units
1_3 attacks 0_7 with 170716, killing 18 units
1_9 attacks 0_0 with 29295, killing 3 units
0_2 attacks 1_0 with 62800, killing 1 units
1_7 attacks 0_4 with 58208, killing 6 units
0_0 attacks 1_1 with 87120, killing 1 units
1_0 attacks 0_3 with 180554, killing 18 units
1_6 attacks 0_5 with 157050, killing 34 units
Tick 100_6 attacks 1_6 with 96720, killing 2 units
0_7 attacks 1_5 with 83232, killing 1 units
1_8 attacks 0_6 with 21928, killing 3 units
1_1 attacks 0_2 with 186912, killing 20 units
0_5 attacks 1_9 with 37310, killing 2 units
1_2 attacks 0_0 with 39480, killing 4 units
0_4 attacks 1_3 with 178360, killing 3 units
0_8 attacks 1_1 with 86592, killing 1 units
1_4 attacks 0_8 with 29412, killing 2 units
0_1 attacks 1_8 with 109792, killing 7 units
1_5 attacks 0_9 with 167640, killing 23 units
0_3 attacks 1_2 with 182320, killing 7 units
0_9 attacks 1_7 with 66400, killing 2 units
1_3 attacks 0_7 with 170422, killing 18 units
1_9 attacks 0_1 with 29265, killing 4 units
0_2 attacks 1_0 with 62640, killing 1 units
1_7 attacks 0_4 with 58140, killing 6 units
0_0 attacks 1_4 with 173976, killing 7 units
1_0 attacks 0_3 with 180496, killing 18 units
1_6 attacks 0_5 with 157014, killing 34 units
Tick 110_6 attacks 1_6 with 96600, killing 2 units
0_7 attacks 1_5 with 82368, killing 1 units
1_8 attacks 0_1 with 21900, killing 3 units
1_1 attacks 0_2 with 186868, killing 20 units
0_5 attacks 1_9 with 36834, killing 2 units
1_2 attacks 0_0 with 39060, killing 4 units
0_4 attacks 1_3 with 178048, killing 3 units
0_8 attacks 1_1 with 85936, killing 1 units
1_4 attacks 0_6 with 29160, killing 4 units
0_1 attacks 1_8 with 109680, killing 7 units
1_5 attacks 0_9 with 167580, killing 23 units
0_3 attacks 1_2 with 181960, killing 7 units
0_9 attacks 1_7 with 66032, killing 2 units
1_3 attacks 0_7 with 170128, killing 18 units
1_9 attacks 0_8 with 29235, killing 2 units
0_2 attacks 1_0 with 62480, killing 1 units
1_7 attacks 0_4 with 58072, killing 6 units
0_0 attacks 1_4 with 173712, killing 7 units
1_0 attacks 0_3 with 180438, killing 18 units
1_6 attacks 0_5 with 156978, killing 34 units
Tick 120_6 attacks 1_6 with 96440, killing 2 units
0_7 attacks 1_5 with 81504, killing 1 units
1_8 attacks 0_1 with 21872, killing 3 units
1_1 attacks 0_2 with 186824, killing 20 units
0_5 attacks 1_9 with 36358, killing 2 units
1_2 attacks 0_0 with 38640, killing 4 units
0_4 attacks 1_3 with 177736, killing 3 units
0_8 attacks 1_1 with 85280, killing 1 units
1_4 attacks 0_6 with 28908, killing 4 units
0_1 attacks 1_8 with 109632, killing 7 units
1_5 attacks 0_9 with 167520, killing 23 units
0_3 attacks 1_2 with 181600, killing 7 units
0_9 attacks 1_7 with 65664, killing 2 units
1_3 attacks 0_7 with 169834, killing 18 units
1_9 attacks 0_8 with 29205, killing 2 units
0_2 attacks 1_0 with 62320, killing 1 units
1_7 attacks 0_4 with 58004, killing 6 units
0_0 attacks 1_4 with 173448, killing 7 units
1_0 attacks 0_3 with 180380, killing 18 units
1_6 attacks 0_5 with 156942, killing 34 units
Tick 130_6 attacks 1_6 with 96280, killing 2 units
0_7 attacks 1_5 with 80640, killing 1 units
1_8 attacks 0_1 with 21844, killing 3 units
1_1 attacks 0_2 with 186780, killing 20 units
0_5 attacks 1_9 with 35882, killing 2 units
1_2 attacks 0_0 with 38220, killing 3 units
0_4 attacks 1_3 with 177424, killing 3 units
0_8 attacks 1_1 with 84624, killing 1 units
1_4 attacks 0_6 with 28656, killing 4 units
0_1 attacks 1_8 with 109584, killing 7 units
1_5 attacks 0_9 with 167460, killing 23 units
0_3 attacks 1_2 with 181240, killing 7 units
0_9 attacks 1_7 with 65296, killing 2 units
1_3 attacks 0_7 with 169540, killing 18 units
1_9 attacks 0_8 with 29175, killing 2 units
0_2 attacks 1_0 with 62160, killing 1 units
1_7 attacks 0_4 with 57936, killing 6 units
0_0 attacks 1_4 with 173250, killing 7 units
1_0 attacks 0_3 with 180322, killing 18 units
1_6 attacks 0_5 with 156906, killing 34 units
Tick 140_6 attacks 1_6 with 96120, killing 2 units
0_7 attacks 1_5 with 79776, killing 1 units
1_8 attacks 0_1 with 21816, killing 3 units
1_1 attacks 0_2 with 186736, killing 20 units
0_5 attacks 1_9 with 35406, killing 2 units
1_2 attacks 0_0 with 37800, killing 3 units
0_4 attacks 1_3 with 177112, killing 3 units
0_8 attacks 1_1 with 83968, killing 1 units
1_4 attacks 0_6 with 28404, killing 4 units
0_1 attacks 1_8 with 109536, killing 7 units
1_5 attacks 0_9 with 167400, killing 23 units
0_3 attacks 1_2 with 180880, killing 7 units
0_9 attacks 1_7 with 64928, killing 2 units
1_3 attacks 0_7 with 169246, killing 18 units
1_9 attacks 0_8 with 29145, killing 2 units
0_2 attacks 1_0 with 62000, killing 1 units
1_7 attacks 0_4 with 57868, killing 6 units
0_0 attacks 1_4 with 173052, killing 7 units
1_0 attacks 0_3 with 180264, killing 18 units
1_6 attacks 0_5 with 156870, killing 34 units
Tick 150_6 attacks 1_6 with 95960, killing 2 units
0_7 attacks 1_5 with 78912, killing 1 units
1_8 attacks 0_1 with 21788, killing 3 units
1_1 attacks 0_2 with 186692, killing 20 units
0_5 attacks 1_9 with 34930, killing 2 units
1_2 attacks 0_0 with 37380, killing 3 units
0_4 attacks 1_3 with 176800, killing 3 units
0_8 attacks 1_1 with 83312, killing 1 units
1_4 attacks 0_6 with 28152, killing 4 units
0_1 attacks 1_8 with 109488, killing 7 units
1_5 attacks 0_9 with 167340, killing 23 units
0_3 attacks 1_2 with 180520, killing 7 units
0_9 attacks 1_7 with 64560, killing 2 units
1_3 attacks 0_7 with 168952, killing 18 units
1_9 attacks 0_8 with 29115, killing 2 units
0_2 attacks 1_0 with 61840, killing 1 units
1_7 attacks 0_4 with 57800, killing 6 units
0_0 attacks 1_4 with 172854, killing 7 units
1_0 attacks 0_3 with 180206, killing 18 units
1_6 attacks 0_5 with 156834, killing 34 units
Tick 160_6 attacks 1_6 with 95800, killing 2 units
0_7 attacks 1_5 with 78048, killing 1 units
1_8 attacks 0_1 with 21760, killing 3 units
1_1 attacks 0_2 with 186648, killing 20 units
0_5 attacks 1_9 with 34454, killing 2 units
1_2 attacks 0_0 with 36960, killing 3 units
0_4 attacks 1_3 with 176488, killing 3 units
0_8 attacks 1_1 with 82656, killing 1 units
1_4 attacks 0_6 with 27900, killing 4 units
0_1 attacks 1_8 with 109440, killing 7 units
1_5 attacks 0_9 with 167280, killing 23 units
0_3 attacks 1_2 with 180160, killing 7 units
0_9 attacks 1_7 with 64192, killing 2 units
1_3 attacks 0_7 with 168658, killing 17 units
1_9 attacks 0_8 with 29085, killing 2 units
0_2 attacks 1_0 with 61680, killing 1 units
1_7 attacks 0_4 with 57732, killing 6 units
0_0 attacks 1_4 with 172656, killing 7 units
1_0 attacks 0_3 with 180148, killing 18 units
1_6 attacks 0_5 with 156798, killing 34 units
Tick 170_6 attacks 1_6 with 95640, killing 2 units
0_7 attacks 1_5 with 77232, killing 1 units
1_8 attacks 0_1 with 21732, killing 3 units
1_1 attacks 0_2 with 186604, killing 20 units
0_5 attacks 1_9 with 33978, killing 2 units
1_2 attacks 0_0 with 36540, killing 3 units
0_4 attacks 1_3 with 176176, killing 3 units
0_8 attacks 1_1 with 82000, killing 1 units
1_4 attacks 0_6 with 27648, killing 4 units
0_1 attacks 1_8 with 109392, killing 7 units
1_5 attacks 0_9 with 167220, killing 23 units
0_3 attacks 1_2 with 179800, killing 7 units
0_9 attacks 1_7 with 63824, killing 2 units
1_3 attacks 0_7 with 168364, killing 17 units
1_9 attacks 0_8 with 29055, killing 2 units
0_2 attacks 1_0 with 61520, killing 1 units
1_7 attacks 0_4 with 57664, killing 6 units
0_0 attacks 1_4 with 172458, killing 7 units
1_0 attacks 0_3 with 180090, killing 18 units
1_6 attacks 0_5 with 156762, killing 34 units
Tick 180_6 attacks 1_6 with 95480, killing 2 units
0_7 attacks 1_5 with 76416, killing 1 units
1_8 attacks 0_1 with 21704, killing 3 units
1_1 attacks 0_2 with 186560, killing 20 units
0_5 attacks 1_9 with 33502, killing 2 units
1_2 attacks 0_0 with 36120, killing 3 units
0_4 attacks 1_3 with 175864, killing 3 units
0_8 attacks 1_1 with 81344, killing 1 units
1_4 attacks 0_6 with 27396, killing 4 units
0_1 attacks 1_8 with 109344, killing 7 units
1_5 attacks 0_9 with 167160, killing 23 units
0_3 attacks 1_2 with 179440, killing 7 units
0_9 attacks 1_7 with 63456, killing 2 units
1_3 attacks 0_7 with 168070, killing 17 units
1_9 attacks 0_8 with 29025, killing 2 units
0_2 attacks 1_0 with 61360, killing 1 units
1_7 attacks 0_4 with 57596, killing 5 units
0_0 attacks 1_4 with 172260, killing 7 units
1_0 attacks 0_3 with 180032, killing 18 units
1_6 attacks 0_5 with 156726, killing 34 units
Tick 190_6 attacks 1_6 with 95320, killing 2 units
0_7 attacks 1_5 with 75600, killing 1 units
1_8 attacks 0_1 with 21676, killing 3 units
1_1 attacks 0_2 with 186516, killing 20 units
0_5 attacks 1_9 with 33026, killing 2 units
1_2 attacks 0_0 with 35700, killing 3 units
0_4 attacks 1_3 with 175604, killing 3 units
0_8 attacks 1_1 with 80688, killing 1 units
1_4 attacks 0_6 with 27144, killing 4 units
0_1 attacks 1_8 with 109296, killing 7 units
1_5 attacks 0_9 with 167100, killing 23 units
0_3 attacks 1_2 with 179080, killing 7 units
0_9 attacks 1_7 with 63088, killing 2 units
1_3 attacks 0_7 with 167776, killing 17 units
1_9 attacks 0_8 with 28995, killing 2 units
0_2 attacks 1_0 with 61200, killing 1 units
1_7 attacks 0_4 with 57528, killing 5 units
0_0 attacks 1_4 with 172062, killing 7 units
1_0 attacks 0_3 with 179974, killing 18 units
1_6 attacks 0_5 with 156690, killing 34 units
Tick 200_6 attacks 1_6 with 95160, killing 2 units
0_7 attacks 1_5 with 74784, killing 1 units
1_8 attacks 0_1 with 21648, killing 3 units
1_1 attacks 0_2 with 186472, killing 20 units
0_5 attacks 1_9 with 32550, killing 2 units
1_2 attacks 0_0 with 35280, killing 3 units
0_4 attacks 1_3 with 175344, killing 3 units
0_8 attacks 1_1 with 80032, killing 1 units
1_4 attacks 0_6 with 26892, killing 4 units
0_1 attacks 1_8 with 109248, killing 7 units
1_5 attacks 0_9 with 167040, killing 23 units
0_3 attacks 1_2 with 178720, killing 7 units
0_9 attacks 1_7 with 62720, killing 2 units
1_3 attacks 0_7 with 167482, killing 17 units
1_9 attacks 0_8 with 28965, killing 2 units
0_2 attacks 1_0 with 61040, killing 1 units
1_7 attacks 0_4 with 57460, killing 5 units
0_0 attacks 1_4 with 171864, killing 7 units
1_0 attacks 0_3 with 179916, killing 18 units
1_6 attacks 0_5 with 156654, killing 34 units
Tick 210_6 attacks 1_6 with 95000, killing 2 units
0_7 attacks 1_5 with 73968, killing 1 units
1_8 attacks 0_1 with 21620, killing 3 units
1_1 attacks 0_2 with 186428, killing 20 units
0_5 attacks 1_9 with 32074, killing 2 units
1_2 attacks 0_0 with 34860, killing 3 units
0_4 attacks 1_3 with 175084, killing 3 units
0_8 attacks 1_1 with 79376, killing 1 units
1_4 attacks 0_6 with 26640, killing 4 units
0_1 attacks 1_8 with 109200, killing 7 units
1_5 attacks 0_9 with 166980, killing 23 units
0_3 attacks 1_2 with 178360, killing 7 units
0_9 attacks 1_7 with 62352, killing 2 units
1_3 attacks 0_7 with 167188, killing 17 units
1_9 attacks 0_8 with 28935, killing 2 units
0_2 attacks 1_0 with 60880, killing 1 units
1_7 attacks 0_4 with 57392, killing 5 units
0_0 attacks 1_4 with 171666, killing 7 units
1_0 attacks 0_3 with 179858, killing 18 units
1_6 attacks 0_5 with 156618, killing 34 units
Tick 220_6 attacks 1_6 with 94840, killing 2 units
0_7 attacks 1_5 with 73152, killing 1 units
1_8 attacks 0_1 with 21592, killing 3 units
1_1 attacks 0_2 with 186384, killing 20 units
0_5 attacks 1_9 with 31598, killing 2 units
1_2 attacks 0_0 with 34440, killing 3 units
0_4 attacks 1_3 with 174824, killing 3 units
0_8 attacks 1_1 with 78720, killing 1 units
1_4 attacks 0_6 with 26388, killing 4 units
0_1 attacks 1_8 with 109152, killing 7 units
1_5 attacks 0_9 with 166920, killing 23 units
0_3 attacks 1_2 with 178000, killing 7 units
0_9 attacks 1_7 with 61984, killing 2 units
1_3 attacks 0_7 with 166894, killing 17 units
1_9 attacks 0_8 with 28905, killing 2 units
0_2 attacks 1_0 with 60720, killing 1 units
1_7 attacks 0_4 with 57324, killing 5 units
0_0 attacks 1_4 with 171468, killing 7 units
1_0 attacks 0_3 with 179800, killing 18 units
1_6 attacks 0_5 with 156582, killing 34 units
Tick 230_6 attacks 1_6 with 94680, killing 2 units
0_7 attacks 1_5 with 72336, killing 1 units
1_8 attacks 0_1 with 21564, killing 3 units
1_1 attacks 0_2 with 186340, killing 20 units
0_5 attacks 1_9 with 31122, killing 2 units
1_2 attacks 0_0 with 34020, killing 3 units
0_4 attacks 1_3 with 174564, killing 3 units
0_8 attacks 1_1 with 78064, killing 1 units
1_4 attacks 0_6 with 26136, killing 4 units
0_1 attacks 1_8 with 109104, killing 7 units
1_5 attacks 0_7 with 166860, killing 17 units
0_3 attacks 1_2 with 177640, killing 7 units
0_9 attacks 1_7 with 61984, killing 2 units
1_3 attacks 0_9 with 166600, killing 23 units
1_9 attacks 0_8 with 28875, killing 2 units
0_2 attacks 1_0 with 60560, killing 1 units
1_7 attacks 0_4 with 57256, killing 5 units
0_0 attacks 1_4 with 171270, killing 7 units
1_0 attacks 0_3 with 179742, killing 18 units
1_6 attacks 0_5 with 156546, killing 34 units
Tick 240_6 attacks 1_6 with 94520, killing 2 units
0_7 attacks 1_5 with 71520, killing 1 units
1_8 attacks 0_1 with 21536, killing 3 units
1_1 attacks 0_2 with 186296, killing 20 units
0_5 attacks 1_9 with 30646, killing 1 units
1_2 attacks 0_0 with 33600, killing 3 units
0_4 attacks 1_3 with 174304, killing 3 units
0_8 attacks 1_1 with 77408, killing 1 units
1_4 attacks 0_6 with 25884, killing 4 units
0_1 attacks 1_8 with 109056, killing 7 units
1_5 attacks 0_7 with 166800, killing 17 units
0_3 attacks 1_2 with 177280, killing 7 units
0_9 attacks 1_7 with 61616, killing 2 units
1_3 attacks 0_9 with 166306, killing 23 units
1_9 attacks 0_8 with 28860, killing 2 units
0_2 attacks 1_0 with 60400, killing 1 units
1_7 attacks 0_4 with 57188, killing 5 units
0_0 attacks 1_4 with 171072, killing 7 units
1_0 attacks 0_3 with 179684, killing 18 units
1_6 attacks 0_5 with 156510, killing 34 units
Tick 250_6 attacks 1_6 with 94360, killing 2 units
0_7 attacks 1_5 with 70704, killing 1 units
1_8 attacks 0_1 with 21508, killing 3 units
1_1 attacks 0_2 with 186252, killing 20 units
0_5 attacks 1_9 with 30170, killing 1 units
1_2 attacks 0_0 with 33180, killing 3 units
0_4 attacks 1_3 with 174044, killing 3 units
0_8 attacks 1_1 with 76752, killing 1 units
1_4 attacks 0_6 with 25632, killing 4 units
0_1 attacks 1_8 with 109008, killing 7 units
1_5 attacks 0_7 with 166740, killing 17 units
0_3 attacks 1_2 with 176920, killing 7 units
0_9 attacks 1_7 with 61248, killing 2 units
1_3 attacks 0_9 with 166012, killing 23 units
1_9 attacks 0_8 with 28845, killing 2 units
0_2 attacks 1_0 with 60240, killing 1 units
1_7 attacks 0_4 with 57120, killing 5 units
0_0 attacks 1_4 with 170874, killing 7 units
1_0 attacks 0_3 with 179626, killing 18 units
1_6 attacks 0_5 with 156474, killing 34 units
Tick 260_6 attacks 1_6 with 94200, killing 2 units
0_7 attacks 1_5 with 69888, killing 1 units
1_8 attacks 0_1 with 21480, killing 3 units
1_1 attacks 0_2 with 186208, killing 20 units
0_5 attacks 1_9 with 29694, killing 1 units
1_2 attacks 0_0 with 32760, killing 3 units
0_4 attacks 1_3 with 173784, killing 3 units
0_8 attacks 1_1 with 76096, killing 1 units
1_4 attacks 0_6 with 25380, killing 4 units
0_1 attacks 1_8 with 108960, killing 7 units
1_5 attacks 0_7 with 166680, killing 17 units
0_3 attacks 1_2 with 176560, killing 7 units
0_9 attacks 1_7 with 60880, killing 2 units
1_3 attacks 0_9 with 165718, killing 23 units
1_9 attacks 0_8 with 28830, killing 2 units
0_2 attacks 1_0 with 60080, killing 1 units
1_7 attacks 0_4 with 57052, killing 5 units
0_0 attacks 1_4 with 170676, killing 7 units
1_0 attacks 0_3 with 179568, killing 18 units
1_6 attacks 0_5 with 156438, killing 34 units
Tick 270_6 attacks 1_6 with 94040, killing 2 units
0_7 attacks 1_5 with 69072, killing 1 units
1_8 attacks 0_1 with 21452, killing 3 units
1_1 attacks 0_2 with 186164, killing 20 units
0_5 attacks 1_9 with 29218, killing 1 units
1_2 attacks 0_0 with 32340, killing 3 units
0_4 attacks 1_3 with 173524, killing 3 units
0_8 attacks 1_1 with 75440, killing 1 units
1_4 attacks 0_6 with 25128, killing 3 units
0_1 attacks 1_8 with 108912, killing 7 units
1_5 attacks 0_7 with 166620, killing 17 units
0_3 attacks 1_2 with 176200, killing 7 units
0_9 attacks 1_7 with 60512, killing 1 units
1_3 attacks 0_9 with 165424, killing 23 units
1_9 attacks 0_8 with 28815, killing 2 units
0_2 attacks 1_0 with 59920, killing 1 units
1_7 attacks 0_4 with 57018, killing 5 units
0_0 attacks 1_4 with 170478, killing 7 units
1_0 attacks 0_3 with 179510, killing 18 units
1_6 attacks 0_5 with 156402, killing 33 units
Tick 280_6 attacks 1_6 with 93920, killing 2 units
0_7 attacks 1_5 with 68256, killing 1 units
1_8 attacks 0_1 with 21424, killing 3 units
1_1 attacks 0_2 with 186120, killing 20 units
0_5 attacks 1_9 with 28756, killing 1 units
1_2 attacks 0_0 with 31920, killing 3 units
0_4 attacks 1_3 with 173264, killing 3 units
0_8 attacks 1_1 with 74784, killing 1 units
1_4 attacks 0_6 with 24876, killing 3 units
0_1 attacks 1_8 with 108864, killing 7 units
1_5 attacks 0_7 with 166560, killing 17 units
0_3 attacks 1_2 with 175840, killing 7 units
0_9 attacks 1_7 with 60144, killing 1 units
1_3 attacks 0_9 with 165130, killing 23 units
1_9 attacks 0_8 with 28800, killing 2 units
0_2 attacks 1_0 with 59760, killing 1 units
1_7 attacks 0_4 with 56984, killing 5 units
0_0 attacks 1_4 with 170280, killing 7 units
1_0 attacks 0_3 with 179452, killing 18 units
1_6 attacks 0_5 with 156366, killing 33 units
Tick 290_6 attacks 1_6 with 93800, killing 2 units
0_7 attacks 1_5 with 67440, killing 1 units
1_8 attacks 0_1 with 21396, killing 3 units
1_1 attacks 0_2 with 186076, killing 20 units
0_5 attacks 1_9 with 28294, killing 1 units
1_2 attacks 0_0 with 31500, killing 3 units
0_4 attacks 1_3 with 173004, killing 3 units
0_8 attacks 1_1 with 74128, killing 1 units
1_4 attacks 0_6 with 24624, killing 3 units
0_1 attacks 1_8 with 108816, killing 7 units
1_5 attacks 0_7 with 166500, killing 17 units
0_3 attacks 1_2 with 175480, killing 6 units
0_9 attacks 1_7 with 59776, killing 1 units
1_3 attacks 0_9 with 164836, killing 23 units
1_9 attacks 0_8 with 28785, killing 2 units
0_2 attacks 1_0 with 59600, killing 1 units
1_7 attacks 0_4 with 56950, killing 5 units
